generated.item,dimension
I am likely to believe that Al systems are capable of performing tasks accurately and reliably.,trust.in.AI.competence
"I am likely to trust that Al systems can make good decisions, even in complex or uncertain situations.",trust.in.AI.competence
I am likely to be confident that Al systems are able to learn and improve over time.,trust.in.AI.competence
I am likely to believe that Al systems are capable of solving real-world problems.,trust.in.AI.competence
I am likely to trust that Al systems can be used to make my life better.,trust.in.AI.competence
I am likely to believe that Al systems are designed to act in the best interests of humans.,trust.in.AI.benevolence
"I am likely to trust that Al systems will not harm humans, either intentionally or unintentionally.",trust.in.AI.benevolence
"I am likely to be confident that Al systems will be used for good, not for evil.",trust.in.AI.benevolence
I am likely to believe that Al systems can help us to create a better future for humanity.,trust.in.AI.benevolence
I am likely to trust that Al systems will be used to make the world a more just and equitable place.,trust.in.AI.benevolence
I am likely to believe that AI systems are understandable and accountable to humans.,trust.in.AI.transparency
"I am likely to trust that I can understand how AI systems work, even if I am not a technical expert.",trust.in.AI.transparency
I am likely to be confident that I can identify and report any problems with AI systems.,trust.in.AI.transparency
I am likely to believe that AI systems should be designed with transparency in mind.,trust.in.AI.transparency
I am likely to trust that AI systems will be used in a transparent and accountable manner.,trust.in.AI.transparency
I am likely to believe that AI systems treat all people fairly and equitably.,trust.in.AI.fairness
"I am likely to trust that AI systems will not discriminate against people based on their race, gender, religion, or any other factor.",trust.in.AI.fairness
I am likely to be confident that AI systems will be used to promote fairness and equality in society.,trust.in.AI.fairness
I am likely to believe that AI systems can help us to create a more just and equitable world.,trust.in.AI.fairness
I am likely to trust that AI systems will be used to uphold human rights and fundamental freedoms.,trust.in.AI.fairness
